;municipio_paciente;Total
0;;566161632231613863638162166363122332238232636666112213816216266161221636212626266383813383437213871386262613521626276
1;ABADIA DE GOIAS;6
2;ABAETETUBA;11343422233354321134222333
3;ABARE;666
4;ABREU E LIMA;623222213823823838
5;ACAIACA;2
6;ACAILANDIA;31
7;ACARA;37
8;ACARAPE;3
9;ACOPIARA;63
10;ACORIZAL;66
11;ACU;638
12;AFOGADOS DA INGAZEIRA;3
13;AFONSO CLAUDIO;6
14;AFUA;316161638
15;AGUA AZUL DO NORTE;2
16;AGUA BOA;2638
17;AGUA BRANCA;12
18;AGUA COMPRIDA;3
19;AGUA NOVA;6
20;AGUA PRETA;2233
21;AGUAI;66
22;AGUAS BELAS;23338
23;AGUAS LINDAS DE GOIAS;62323
24;AGUIA BRANCA;6
25;AIMORES;3
26;ALAGOA GRANDE;1
27;ALAGOA NOVA;5
28;ALAGOINHA;6
29;ALAGOINHAS;3172382
30;ALCANTARA;2
31;ALCANTARAS;6266
32;ALCINOPOLIS;3
33;ALECRIM;6
34;ALEGRE;6
35;ALEGRETE;261
36;ALEM PARAIBA;1
37;ALENQUER;116238
38;ALFENAS;1
39;ALHANDRA;6
40;ALIANCA;3
41;ALMEIRIM;162
42;ALMENARA;1
43;ALMIRANTE TAMANDARE;6213
44;ALTA FLORESTA;3
45;ALTAMIRA;626223
46;ALTAMIRA DO PARANA;6
47;ALTINHO;33
48;ALTO ALEGRE;3
49;ALTO DO RODRIGUES;1
50;ALTO PARAGUAI;232
51;ALTO SANTO;127
52;ALTONIA;2
53;ALTOS;23
54;ALUMINIO;6
55;ALVARAES;26612626
56;ALVARES FLORENCE;66
57;ALVARES MACHADO;4
58;ALVINOPOLIS;2
59;ALVORADA;2311312123833
60;AMAJARI;1
61;AMAPA;1
62;AMAPA DO MARANHAO;323226
63;AMARAJI;2
64;AMARGOSA;638
65;AMELIA RODRIGUES;21
66;AMERICA DOURADA;3
67;AMERICANA;21
68;AMERICO BRASILIENSE;22
69;AMONTADA;77277277232316327616
70;ANAJAS;2261161
71;ANAJATUBA;3
72;ANAMA;6
73;ANANINDEUA;2322231331122323123332226383838232339382222212223823
74;ANAPOLIS;12626613126238638273812
75;ANASTACIO;21232
76;ANCHIETA;6
77;ANDORINHA;322
78;ANDRE DA ROCHA;1
79;ANGATUBA;6
80;ANGICOS;6
81;ANGRA DOS REIS;232
82;ANICUNS;62
83;ANORI;7231
84;ANTONIO CARLOS;3
85;ANTONIO MARTINS;6
86;ANTONIO PRADO DE MINAS;3
87;APARECIDA DE GOIANIA;33226322112238222
88;APERIBE;2
89;APIACAS;6
90;APIAI;6
91;APICUM-ACU;38
92;APODI;1
93;APUCARANA;132
94;APUI;32
95;APUIARES;31
96;AQUIDABA;3
97;AQUIDAUANA;61611
98;AQUIRAZ;3216
99;ARABUTA;6
100;ARACAJU;383812383838323811138211111383838238383823822123838123838382383838238238381383823832238
101;ARACARIGUAMA;2
102;ARACATI;23
103;ARACATUBA;661166
104;ARACI;2212
105;ARACOIABA;313
106;ARACOIABA DA SERRA;7776
107;ARACRUZ;661
108;ARACUAI;13106
109;ARAGOIANIA;3233
110;ARAGOMINAS;2
111;ARAGUAINA;322
112;ARAGUANA;6
113;ARAIOSES;6
114;ARAME;2
115;ARAPIRACA;21
116;ARAPONGAS;221
117;ARAPOTI;38
118;ARAPUTANGA;6
119;ARARANGUA;38
120;ARARAQUARA;1386262266
121;ARARAS;27
122;ARARENDA;6
123;ARARI;122
124;ARARIPE;11
125;ARARIPINA;3113232
126;ARARUAMA;2
127;ARARUNA;66
128;ARATACA;6
129;ARATUIPE;2
130;ARAUA;2
131;ARAUCARIA;112638166
132;ARAXA;2
133;ARCEBURGO;6
134;ARCOVERDE;210
135;AREADO;237373737373737
136;AREIA;6
137;AREIA BRANCA;13332626
138;AREIAS;22
139;ARICANDUVA;6
140;ARIPUANA;361333
141;ARIQUEMES;11121
142;AROEIRAS DO ITAIM;777777777777
143;ARRAIAL;2
144;ARRAIAL DO CABO;2
145;ARROIO DO SAL;26
146;ARROIO DOS RATOS;23
147;ARTUR NOGUEIRA;36
148;ARUJA;766
149;ASSIS;2
150;ASSIS CHATEAUBRIAND;2
151;ASSUNCAO;6
152;ASTOLFO DUTRA;1
153;ASTORGA;82
154;ATALAIA DO NORTE;2
155;ATIBAIA;616666626
156;AUGUSTO CORREA;11662226616766
157;AURORA;62
158;AURORA DO PARA;1
159;AUTAZES;6212166666623262261
160;AVARE;266662
161;AVEIRO;3
162;AXIXA;3
163;BABACULANDIA;6
164;BACABAL;62
165;BACURI;1
166;BAGE;21
167;BAIANOPOLIS;2
168;BAIAO;2326621636
169;BAIXA GRANDE DO RIBEIRO;6
170;BALNEARIO CAMBORIU;12
171;BALNEARIO PINHAL;1
172;BALSA NOVA;3
173;BALSAMO;666
174;BANABUIU;2
175;BANANAL;2
176;BANDEIRA DO SUL;666
177;BANDEIRANTES;6
178;BANZAE;32132
179;BARAO DE GRAJAU;3
180;BARAO DE MELGACO;6
181;BARAO DO TRIUNFO;3
182;BARBACENA;33433
183;BARBALHA;2387387773873877
184;BARBOSA FERRAZ;3
185;BARCARENA;1336122216213
186;BARIRI;6
187;BARRA;26266
188;BARRA BONITA;61
189;BARRA DA ESTIVA;138
190;BARRA DE SAO MIGUEL;66
191;BARRA DO BUGRES;26
192;BARRA DO CHOCA;3822
193;BARRA DO CORDA;33
194;BARRA DO GARCAS;38238386
195;BARRA DO MENDES;3123
196;BARRA DO PIRAI;361
197;BARRA DO RIBEIRO;1
198;BARRA DOS COQUEIROS;622162
199;BARRA MANSA;323823
200;BARRA VELHA;38
201;BARRAS;21
202;BARREIRAS;6211212
203;BARREIRINHA;66666626622
204;BARREIRINHAS;1632
205;BARREIROS;3
206;BARRETOS;322
207;BARRINHA;7666
208;BARRO;6
209;BARRO ALTO;6
210;BARROCAS;2
211;BARUERI;666226666226162226
212;BATALHA;31
213;BATATAIS;2
214;BATURITE;2
215;BAURU;61276666616
216;BAYEUX;55722
217;BEBEDOURO;2
218;BEBERIBE;2617222
219;BELA CRUZ;1
220;BELA VISTA DO MARANHAO;66
221;BELAGUA;3333
222;BELEM;261626121010110101171031211226116626362101038223338101177116266313327777166777773823822
223;BELEM DO SAO FRANCISCO;23
224;BELFORD ROXO;23213238223381
225;BELO HORIZONTE;22221137127238138638123811383812238211138138238382238382213821213822213811222383821382213837383838387222381122382123822382138238110123238138381221227383813838382227122111381226113838111223838237122373838138222223373838113123823812223821111383812382138222387321383812383817171383872371223827382723811738
226;BELO JARDIM;2
227;BELO ORIENTE;2
228;BELTERRA;276
229;BENEVIDES;33
230;BENJAMIN CONSTANT;238638
231;BENTO GONCALVES;2222
232;BERTIOGA;66
233;BERURI;61622
234;BETANIA;3
235;BETIM;383323223333363213638633383631336166
236;BEZERROS;3232
237;BIGUACU;3
238;BIRIGUI;22
239;BIRITIBA-MIRIM;6
